Library A,Library B,U-statistic,p-value,Significant
holoviews,matplotlib,840.0,6.680905866173482e-11,YES
holoviews,plotly,0.0,9.622906144793633e-11,YES
holoviews,plotnine,0.0,1.4041013892967548e-10,YES
holoviews,pygal,0.0,9.622906144793633e-11,YES
holoviews,seaborn,0.0,6.680905866173482e-11,YES
matplotlib,plotly,0.0,4.461750341666232e-11,YES
matplotlib,plotnine,0.0,6.680905866173482e-11,YES
matplotlib,pygal,0.0,4.461750341666232e-11,YES
matplotlib,seaborn,0.0,3.019859359162157e-11,YES
plotly,plotnine,812.0,9.622906144793633e-11,YES
plotly,pygal,841.0,6.509474642778052e-11,YES
plotly,seaborn,870.0,4.461750341666232e-11,YES
plotnine,pygal,0.0,9.622906144793633e-11,YES
plotnine,seaborn,840.0,6.680905866173482e-11,YES
pygal,seaborn,870.0,4.461750341666232e-11,YES
