experiment_number,library,energy_delay_product
1,holoviews,2491.969502807617
1,matplotlib,264.6995936279297
1,plotly,45536.52610961914
1,plotnine,17544.378612792967
1,pygal,19228.465930175786
1,seaborn,3509.42033001709
2,matplotlib,285.6178881835937
2,plotly,45818.48650469971
2,plotnine,17060.616326660158
2,pygal,19317.734677551267
2,seaborn,3510.5012578125
3,holoviews,2419.1589166259764
3,matplotlib,265.3158278808594
3,plotly,42469.88933337403
3,plotnine,16647.96858740234
3,pygal,19340.948952026367
3,seaborn,3642.6595584716792
4,holoviews,2467.9953244628905
4,matplotlib,264.7880263671875
4,plotly,42294.73754333496
4,pygal,19330.545457519533
4,seaborn,3429.9855252685547
5,matplotlib,264.3031639404297
5,plotly,45215.91481256104
5,plotnine,16309.89147821045
5,pygal,18646.33974383545
5,seaborn,3478.848994995117
6,holoviews,2671.711839111328
6,matplotlib,289.8046217041016
6,plotly,42737.34052331543
6,plotnine,17000.782443786622
6,pygal,19045.766581848144
6,seaborn,3600.159312744141
7,holoviews,2439.313290161133
7,matplotlib,293.40405004882814
7,plotly,42152.19217987061
7,plotnine,17112.23083947754
7,pygal,18729.63871606445
7,seaborn,3446.928038024903
8,holoviews,2538.962846923828
8,matplotlib,258.6730922241211
8,plotly,43025.92822357178
8,plotnine,17327.662889160158
8,pygal,18163.866573913576
8,seaborn,3843.923779968261
9,holoviews,2546.3382348632813
9,matplotlib,300.76344171142574
9,plotly,43426.22243896485
9,plotnine,16705.232664978026
9,pygal,18424.99842034912
9,seaborn,3515.845010986328
10,holoviews,2527.53589453125
10,matplotlib,258.42676116943363
10,plotly,42512.85247955322
10,plotnine,16928.457685546877
10,pygal,18802.775946044923
10,seaborn,3515.6233635253907
11,holoviews,2482.207262023925
11,matplotlib,306.49237915039066
11,plotly,44645.78290344238
11,plotnine,16928.20470776367
11,seaborn,3518.215262084961
12,holoviews,2414.037820739746
12,matplotlib,269.16764794921875
12,plotnine,17039.680707824707
12,pygal,19244.18963720703
12,seaborn,3750.162945922852
13,holoviews,2634.856045776367
13,matplotlib,261.61357470703126
13,plotly,42790.23305084229
13,plotnine,17160.816707458496
13,pygal,18636.658923339844
13,seaborn,3435.781194091797
14,holoviews,2374.972255432129
14,matplotlib,261.39108837890626
14,plotly,42537.319510742185
14,plotnine,16905.53273730469
14,pygal,19094.965001464847
14,seaborn,3504.492216552734
15,holoviews,2507.711459106445
15,matplotlib,262.7003316650391
15,plotly,43726.42968927002
15,plotnine,16342.495677062989
15,pygal,18803.72235559082
15,seaborn,3481.0152890625
16,holoviews,2544.1594711914063
16,matplotlib,269.4012835083008
16,plotly,42596.81189758301
16,plotnine,16831.98562335205
16,pygal,18975.7489430542
16,seaborn,3530.458875
17,holoviews,2527.398976074219
17,matplotlib,268.7914086914062
17,plotly,42351.03479882813
17,plotnine,17000.01050366211
17,pygal,18708.19283679199
17,seaborn,3664.236041564942
18,holoviews,2517.7128135986327
18,matplotlib,290.64198046875003
18,plotly,42929.75945050049
18,plotnine,16440.38798828125
18,pygal,19323.031396484377
18,seaborn,3614.017098144531
19,holoviews,2522.713013305664
19,matplotlib,266.73129577636723
19,plotly,42473.567509826666
19,plotnine,16578.03679199219
19,pygal,18121.10223394776
19,seaborn,3839.136640625
20,holoviews,2459.0722153930665
20,matplotlib,258.842373046875
20,plotly,45552.58919281005
20,plotnine,17185.184760437012
20,pygal,18801.100419677736
20,seaborn,3546.278168945312
21,holoviews,2457.136672668457
21,matplotlib,259.75660009765625
21,plotly,43451.58529577636
21,plotnine,18022.12822265625
21,pygal,19041.17759033203
21,seaborn,3565.8458880004887
22,holoviews,2493.992890136719
22,matplotlib,262.1232669067383
22,plotly,42866.20173138428
22,plotnine,16618.095420776364
22,pygal,19195.9267611084
22,seaborn,3624.5575632324217
23,holoviews,2414.006742553711
23,matplotlib,297.1322894287109
23,plotly,43103.75718603516
23,plotnine,17238.224313842773
23,pygal,18494.99908099365
23,seaborn,3620.941331176758
24,holoviews,2407.949008544922
24,matplotlib,260.5122705078125
24,plotly,42810.41222412109
24,pygal,19088.31667285156
24,seaborn,3631.724118408203
25,holoviews,2415.3452734375
25,matplotlib,264.8859831542969
25,plotly,45305.33987145996
25,plotnine,16664.48639941406
25,pygal,19109.776475097657
25,seaborn,3690.845487182617
26,holoviews,2592.440154724121
26,matplotlib,265.37775634765626
26,plotly,42290.24345068359
26,plotnine,16781.908034484863
26,pygal,18800.912298583982
26,seaborn,3698.0803588867184
27,holoviews,2458.928736328125
27,matplotlib,282.2051948242188
27,plotly,42765.807260742185
27,plotnine,17233.150201171877
27,pygal,18727.552593994144
27,seaborn,3602.1469281005857
28,holoviews,2394.209902404785
28,matplotlib,266.80928656005864
28,plotly,43811.49739227295
28,plotnine,17238.37659716797
28,pygal,18816.58521301269
28,seaborn,3702.8715058593752
29,holoviews,2411.262328125
29,matplotlib,264.72493359375005
29,plotly,42769.4030604248
29,plotnine,17383.59625274658
29,pygal,18845.231855529782
29,seaborn,3604.036242919922
30,holoviews,2395.052219970703
30,matplotlib,269.5136240234375
30,plotly,42574.52140429688
30,plotnine,16684.422478088378
30,pygal,19174.36231933593
30,seaborn,3685.845909667969
