experiment_number,library,delta_package_energy_j,execution_time_s,energy_delay_product
10,matplotlib,55.99713134765625,4.615,258.42676116943363
10,plotly,761.6470336914062,55.817,42512.85247955322
10,pygal,512.3372192382812,36.7,18802.775946044923
10,holoviews,185.384765625,13.634,2527.53589453125
10,seaborn,219.0965576171875,16.046,3515.6233635253907
10,plotnine,485.1116943359375,34.896,16928.457685546877
11,seaborn,216.5455322265625,16.247,3518.215262084961
11,matplotlib,61.1273193359375,5.014,306.49237915039066
11,plotly,778.2078247070312,57.37,44645.78290344238
11,plotnine,485.062744140625,34.899,16928.20470776367
11,holoviews,181.99334716796875,13.639,2482.2072620239255
11,pygal,201.2412109375,14.642,2946.573810546875
12,holoviews,177.02117919921875,13.637,2414.037820739746
12,plotly,14.12677001953125,1.203,16.994504333496096
12,matplotlib,58.337158203125,4.614,269.16764794921875
12,plotnine,488.28497314453125,34.897,17039.680707824707
12,pygal,518.683349609375,37.102,19244.18963720703
12,seaborn,228.0150146484375,16.447,3750.1629459228516
13,matplotlib,56.699951171875,4.614,261.61357470703126
13,seaborn,214.1207275390625,16.046,3435.781194091797
13,plotnine,488.92608642578125,35.099,17160.816707458496
13,pygal,507.82470703125,36.699,18636.658923339844
13,plotly,772.0663452148438,55.423,42790.23305084229
13,holoviews,190.40728759765625,13.838,2634.856045776367
14,seaborn,215.8204345703125,16.238,3504.492216552734
14,holoviews,176.93304443359375,13.423,2374.972255432129
14,plotnine,481.88623046875,35.082,16905.53273730469
14,matplotlib,56.7747802734375,4.604,261.39108837890626
14,plotly,765.1697998046875,55.592,42537.319510742185
14,pygal,520.34130859375,36.697,19094.965001464847
15,plotnine,470.95172119140625,34.701,16342.495677062989
15,holoviews,183.8902587890625,13.637,2507.7114591064455
15,matplotlib,56.93548583984375,4.614,262.7003316650391
15,seaborn,216.966796875,16.044,3481.0152890625
15,pygal,512.3909301757812,36.698,18803.72235559082
15,plotly,783.5294799804688,55.807,43726.42968927002
16,seaborn,217.3125,16.246,3530.458875
16,plotnine,482.33331298828125,34.897,16831.98562335205
16,plotly,765.8404541015625,55.621,42596.81189758301
16,pygal,517.0081176757812,36.703,18975.7489430542
16,matplotlib,58.40045166015625,4.613,269.4012835083008
16,holoviews,186.56298828125,13.637,2544.1594711914063
17,pygal,504.2503662109375,37.101,18708.19283679199
17,holoviews,185.3475341796875,13.636,2527.398976074219
17,plotly,764.5695190429688,55.392,42351.03479882813
17,plotnine,487.148193359375,34.897,17000.01050366211
17,matplotlib,58.255615234375,4.614,268.7914086914062
17,seaborn,225.56085205078125,16.245,3664.236041564942
18,plotnine,471.0712890625,34.9,16440.38798828125
18,seaborn,222.455810546875,16.246,3614.017098144531
18,plotly,769.0610961914062,55.821,42929.75945050049
18,holoviews,184.6236572265625,13.637,2517.7128135986327
18,pygal,520.83642578125,37.1,19323.031396484377
18,matplotlib,60.3994140625,4.812,290.64198046875003
