Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742932291290,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15594.213684082031,167743.6531982422,141089.42041015625,1845.7965698242188,17024311296,2550136832,8295772160,0
200,1742932291290,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15594.2197265625,167743.71759033203,141089.48333740234,1845.7965698242188,17024311296,2550136832,8295784448,0
199,1742932291491,2801,2801,2801,2801,2801,2801,2801,2801,5.02716064453125,6.681266784667969,7.569610595703125,5.30963134765625,4.587059020996094,4.786399841308594,7.847724914550781,4.865119934082031,15594.33447265625,167744.06982421875,141089.7426147461,1845.8055419921875,17024311296,2550136832,8296620032,0
200,1742932291691,2801,2801,2801,2801,2801,2801,2801,2801,0.29430389404296875,0.924957275390625,1.4122543334960938,0.09302520751953125,3.1946640014648438,0.10660552978515625,0.8188018798828125,1.189849853515625,15594.440612792969,167744.2904663086,141089.88543701172,1845.8074951171875,17024311296,2550136832,8296357888,0
200,1742932291892,2801,2801,2801,2801,2801,2801,2801,2801,2.5832290649414063,7.56982421875,18.515487670898438,0.852935791015625,1.60791015625,75.58152770996094,4.182861328125,8.1046142578125,15594.823364257813,167747.1064453125,141092.2801513672,1845.8780517578125,17024311296,2550136832,7979655168,0
200,1742932292092,2801,2801,2801,2801,2801,2801,2801,2801,1.442138671875,0.98663330078125,99.09526824951172,0.11151885986328125,2.292327880859375,0.218109130859375,1.5614852905273438,3.2602691650390625,15595.130859375,167750.09344482422,141094.9125366211,1845.9420776367188,17024311296,2550136832,8010604544,0
200,1742932292293,2801,2801,2801,2801,2801,2801,2801,2801,0.492401123046875,0.47624969482421875,100,0.24098968505859375,3.7788619995117188,0.24149322509765625,0.282623291015625,0.20809173583984375,15595.395141601563,167752.8392944336,141097.43334960938,1845.9420776367188,17024311296,2550136832,8058011648,0
200,1742932292493,2801,2801,2801,2801,2801,2801,2801,2801,0.77996826171875,1.9847946166992188,100,0.1843109130859375,4.166358947753906,0.1315155029296875,0.29094696044921875,0.18505859375,15595.583190917969,167755.57788085938,141099.93951416016,1845.9420776367188,17024311296,2550136832,7983960064,0
200,1742932292694,2801,2801,2801,2801,2801,2801,2801,2801,0.15285491943359375,0.28855133056640625,100,0.7166519165039063,3.7421798706054688,0.14656829833984375,0.8298187255859375,0.10250091552734375,15595.763549804688,167758.3578491211,141102.4535522461,1845.9420776367188,17024311296,2550136832,7978668032,0
200,1742932292895,2801,2801,2801,2801,2801,2801,2801,2801,0.30916595458984375,1.6111907958984375,100,0,1.6399002075195313,0,2.2998580932617188,0,15596.067138671875,167761.03509521484,141104.84844970703,1845.9420776367188,17024311296,2550136832,8030224384,0
