Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742934700397,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,17595.94110107422,191637.91180419922,162766.6356201172,1944.2822875976563,17024311296,2550136832,6280720384,0
200,1742934700398,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,17595.948974609375,191637.99053955078,162766.7021484375,1944.2822875976563,17024311296,2550136832,6280732672,0
198,1742934700600,2801,2801,2801,2801,2801,2801,2801,2801,4.323211669921875,4.256187438964844,5.4267730712890625,4.355644226074219,6.639564514160156,4.181022644042969,6.228080749511719,4.236640930175781,17596.051879882813,191638.17169189453,162766.8514404297,1944.2822875976563,17024311296,2550136832,6280548352,0
200,1742934700798,2801,2801,2801,2801,2801,2801,2801,2801,1.9940261840820313,1.2664642333984375,2.1451873779296875,0.9012069702148438,5.810943603515625,0.9627456665039063,2.3245697021484375,1.5446014404296875,17596.17156982422,191638.53289794922,162767.05670166016,1944.3154296875,17024311296,2550136832,6280548352,0
200,1742934700999,2801,2801,2801,2801,2801,2801,2801,2801,4.707122802734375,43.747806549072266,28.912841796875,22.989768981933594,33.79723358154297,4.111579895019531,11.637405395507813,4.085823059082031,17596.353759765625,191641.3599243164,162769.6488647461,1944.3236083984375,17024311296,2550136832,6363021312,0
200,1742934701200,2801,2801,2801,2801,2801,2801,2801,2801,2.500457763671875,3.6153335571289063,82.51628112792969,1.9690475463867188,11.754608154296875,0.8582611083984375,9.988121032714844,7.005615234375,17596.5947265625,191643.9037475586,162771.90948486328,1944.3236083984375,17024311296,2550136832,6509584384,0
199,1742934701401,2801,2801,2801,2801,2801,2801,2801,2801,40.5690803527832,47.01076126098633,80.50977325439453,29.897178649902344,40.60354232788086,34.317138671875,41.58858108520508,32.092994689941406,17596.776489257813,191648.21661376953,162775.98419189453,1944.3236083984375,17024311296,2550136832,6474514432,0
200,1742934701601,2801,2801,2801,2801,2801,2801,2801,2801,24.49724578857422,24.566482543945313,45.09201431274414,18.84290313720703,43.67461013793945,19.19896697998047,25.443740844726563,42.767051696777344,17596.93682861328,191651.50244140625,162779.0756225586,1944.3236083984375,17024311296,2550136832,6518652928,0
199,1742934701801,2801,2801,2801,2801,2801,2801,2801,2801,8.862869262695313,13.448875427246094,42.2347297668457,21.16143798828125,17.579635620117188,36.571266174316406,16.071685791015625,9.681983947753906,17597.15301513672,191654.5044555664,162781.7626953125,1944.402099609375,17024311296,2550136832,6322733056,0
200,1742934702002,2801,2801,2801,2801,2801,2801,2801,2801,1.6499862670898438,3.8627471923828125,90.85824584960938,0,2.964324951171875,0,10.594306945800781,0.8477401733398438,17597.474609375,191657.24249267578,162784.1563720703,1944.4483032226563,17024311296,2550136832,6480936960,0
200,1742934702202,2801,2801,2801,2801,2801,2801,2801,2801,2.6192474365234375,0.174041748046875,100,0.0714874267578125,1.3502044677734375,0.062713623046875,0.35152435302734375,0.2949371337890625,17597.68389892578,191660.00274658203,162786.7196044922,1944.4483032226563,17024311296,2550136832,6487437312,0
200,1742934702403,2801,2801,2801,2801,2801,2801,2801,2801,0.9975662231445313,2.7282333374023438,100,0,1.5156478881835938,0,0.6251602172851563,0.158782958984375,17598.116943359375,191662.69567871094,162789.0479736328,1944.4483032226563,17024311296,2550136832,6727196672,0
200,1742934702603,2801,2801,2801,2801,2801,2801,2801,2801,0.6214370727539063,0.4176788330078125,100,0.42729949951171875,1.502960205078125,2.9460906982421875,1.2391281127929688,0.743927001953125,17598.383422851563,191665.45037841797,162791.5037841797,1944.4483032226563,17024311296,2550136832,6886121472,0
200,1742934702804,2801,2801,2801,2801,2801,2801,2801,2801,1.1137466430664063,0.132965087890625,100,0.0193939208984375,1.9625701904296875,0.0802154541015625,2.6987686157226563,0.3874664306640625,17598.509704589844,191668.2891845703,162794.13330078125,1944.4483032226563,17024311296,2550136832,6886121472,0
200,1742934703004,2801,2801,2801,2801,2801,2801,2801,2801,11.811637878417969,1.3399887084960938,100,0.1858062744140625,1.5600509643554688,0.4831390380859375,0.6633148193359375,0.784210205078125,17598.649536132813,191671.2119140625,162796.841796875,1944.4581909179688,17024311296,2550136832,6883647488,0
200,1742934703205,2801,2801,2801,2801,2801,2801,2801,2801,0.4185791015625,0.1324615478515625,100,0.0736846923828125,3.72216796875,0.06237030029296875,0.30271148681640625,0.34479522705078125,17598.774047851563,191674.02325439453,162799.46295166016,1944.4581909179688,17024311296,2550136832,6883647488,0
200,1742934703406,2801,2801,2801,2801,2801,2801,2801,2801,0.8404464721679688,0.538177490234375,100,0.07527923583984375,3.6785507202148438,0.27947998046875,0.26482391357421875,0.92584228515625,17598.901306152344,191676.888671875,162802.08740234375,1944.4598388671875,17024311296,2550136832,6883647488,0
200,1742934703606,2801,2801,2801,2801,2801,2801,2801,2801,0.2908935546875,2.6883010864257813,100,0.11351776123046875,1.2755050659179688,0.109375,0.9986648559570313,0.6340408325195313,17599.028259277344,191679.7036743164,162804.7162475586,1944.4622802734375,17024311296,2550136832,6883647488,0
200,1742934703807,2801,2801,2801,2801,2801,2801,2801,2801,0.7217864990234375,0.6135025024414063,100,0.17922210693359375,1.7360687255859375,0.12004852294921875,6.337394714355469,0.7107162475585938,17599.15985107422,191682.57794189453,162807.37274169922,1944.4622802734375,17024311296,2550136832,6886854656,0
200,1742934704007,2801,2801,2801,2801,2801,2801,2801,2801,0.9307327270507813,0.2577972412109375,100,0.20021820068359375,1.480072021484375,3.0145950317382813,1.2464065551757813,0.9068984985351563,17599.290100097656,191685.47265625,162809.9989013672,1944.4674682617188,17024311296,2550136832,6886768640,0
200,1742934704208,2801,2801,2801,2801,2801,2801,2801,2801,0.13176727294921875,1.3714981079101563,100,0.076873779296875,3.7605743408203125,0.0773773193359375,0.26831817626953125,0.44664764404296875,17599.414916992188,191688.3428955078,162812.62506103516,1944.4674682617188,17024311296,2550136832,6886768640,0
200,1742934704409,2801,2801,2801,2801,2801,2801,2801,2801,0.70599365234375,0.26088714599609375,100,0.14054107666015625,1.2494583129882813,0.13585662841796875,2.7711181640625,0.7677078247070313,17599.541259765625,191691.21026611328,162815.25317382813,1944.4674682617188,17024311296,2550136832,6886768640,0
200,1742934704609,2801,2801,2801,2801,2801,2801,2801,2801,2.7803421020507813,0.1861572265625,100,0.1093292236328125,1.424346923828125,0.37939453125,0.9944992065429688,0.61614990234375,17599.668701171875,191694.0177001953,162817.87322998047,1944.4723510742188,17024311296,2550136832,6886789120,0
200,1742934704810,2801,2801,2801,2801,2801,2801,2801,2801,1.8462677001953125,0.48473358154296875,99.95902252197266,0.1412353515625,1.2019424438476563,0.11371612548828125,2.8009796142578125,0.37709808349609375,17599.79541015625,191696.82135009766,162820.4998779297,1944.4723510742188,17024311296,2550136832,6886744064,0
200,1742934705010,2801,2801,2801,2801,2801,2801,2801,2801,0,0,100,0,1.7159576416015625,2.4279708862304688,1.0729522705078125,0.33521270751953125,17599.967346191406,191699.60668945313,162823.08935546875,1944.4767456054688,17024311296,2550136832,6954860544,0
200,1742934705211,2801,2801,2801,2801,2801,2801,2801,2801,0.9769821166992188,7.599266052246094,100,0.63812255859375,4.505462646484375,0.67242431640625,0.8533935546875,1.1569976806640625,17600.423095703125,191702.39349365234,162825.43963623047,1944.4767456054688,17024311296,2550136832,6720438272,0
200,1742934705412,2801,2801,2801,2801,2801,2801,2801,2801,0.6464080810546875,0.22579193115234375,100,0.0511474609375,3.7316741943359375,0.12488555908203125,0.18795013427734375,1.2822952270507813,17600.549926757813,191705.24932861328,162828.05731201172,1944.4767456054688,17024311296,2550136832,6720438272,0
200,1742934705612,2801,2801,2801,2801,2801,2801,2801,2801,0.24169158935546875,2.6874923706054688,100,0.04736328125,1.4188995361328125,0.3404541015625,0.988311767578125,0.6180953979492188,17600.677490234375,191708.04364013672,162830.67474365234,1944.481201171875,17024311296,2550136832,6720290816,0
