Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742936321880,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,18931.988830566406,207529.14331054688,177181.68939208984,2009.48046875,17024311296,2550136832,6350061568,0
200,1742936321880,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,18931.99481201172,207529.2064819336,177181.75317382813,2009.48046875,17024311296,2550136832,6350073856,0
199,1742936322081,2801,2801,2801,2801,2801,2801,2801,2801,6.960411071777344,4.764762878417969,5.776084899902344,4.810791015625,4.7643280029296875,4.845375061035156,6.888946533203125,4.881683349609375,18932.10479736328,207529.4755859375,177181.93615722656,2009.4909057617188,17024311296,2550136832,6349910016,0
200,1742936322281,2801,2801,2801,2801,2801,2801,2801,2801,2.5678787231445313,0.5189743041992188,1.486785888671875,0.248626708984375,0.24249267578125,2.7702255249023438,1.4000625610351563,0.0308074951171875,18932.21466064453,207529.7484741211,177182.1063232422,2009.514892578125,17024311296,2550136832,6350110720,0
200,1742936322482,2801,2801,2801,2801,2801,2801,2801,2801,4.3127899169921875,0.6039657592773438,1.7696151733398438,0.4827728271484375,0.5308761596679688,100,1.1020889282226563,1.0445632934570313,18932.337463378906,207532.59246826172,177184.7296142578,2009.5302124023438,17024311296,2550136832,6350110720,0
200,1742936322682,2801,2801,2801,2801,2801,2801,2801,2801,7.266853332519531,3.7073593139648438,1.3188934326171875,0.24897003173828125,0.226287841796875,100,1.1420135498046875,0.6763229370117188,18932.447998046875,207535.4984741211,177187.43328857422,2009.5302124023438,17024311296,2550136832,6349230080,0
200,1742936322883,2801,2801,2801,2801,2801,2801,2801,2801,0.28307342529296875,2.5335464477539063,1.1846389770507813,0.1507568359375,0.072235107421875,100,0.39389801025390625,0.156341552734375,18932.55535888672,207538.30645751953,177190.09075927734,2009.5302124023438,17024311296,2550136832,6349135872,0
200,1742936323083,2801,2801,2801,2801,2801,2801,2801,2801,0.36504364013671875,0.18659210205078125,3.6387100219726563,0,0,100,1.1486587524414063,0.2776947021484375,18932.76593017578,207540.9017944336,177192.470703125,2009.531982421875,17024311296,2550136832,6351450112,0
200,1742936323284,2801,2801,2801,2801,2801,2801,2801,2801,3.2241134643554688,0.30362701416015625,1.4199142456054688,0.37201690673828125,0.18842315673828125,100,0.7273788452148438,0.7161636352539063,18933.077026367188,207542.92669677734,177194.23150634766,2009.5403442382813,17024311296,2550136832,6351503360,0
200,1742936323484,2801,2801,2801,2801,2801,2801,2801,2801,1.0843353271484375,2.54449462890625,2.3159332275390625,2.593994140625,0.20493316650390625,100,0.6125030517578125,0.20508575439453125,18933.254028320313,207545.60498046875,177196.71759033203,2009.5403442382813,17024311296,2550136832,6333927424,0
199,1742936323685,2801,2801,2801,2801,2801,2801,2801,2801,4.710533142089844,3.8913040161132813,2.00323486328125,0.32817840576171875,0.11191558837890625,100,3.551605224609375,0.3961334228515625,18933.37811279297,207548.44921875,177199.38403320313,2009.5441284179688,17024311296,2550136832,6333927424,0
