Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742932394507,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15686.238159179688,169067.46936035156,142300.59002685547,1850.738525390625,17024311296,2550136832,6114562048,0
200,1742932394508,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15686.244201660156,169067.53540039063,142300.65509033203,1850.738525390625,17024311296,2550136832,6114574336,0
199,1742932394709,2801,2801,2801,2801,2801,2801,2801,2801,4.499992370605469,6.777061462402344,5.696800231933594,4.564155578613281,4.6995697021484375,4.543327331542969,6.070243835449219,4.366485595703125,15686.34814453125,169067.77893066406,142300.80786132813,1850.74072265625,17024311296,2550136832,6113349632,0
200,1742932394909,2801,2801,2801,2801,2801,2801,2801,2801,0.99365234375,3.0798110961914063,2.2519912719726563,0.6490859985351563,0.72601318359375,0.67486572265625,1.2177047729492188,1.89251708984375,15686.460693359375,169068.0609741211,142300.96643066406,1850.7469482421875,17024311296,2550136832,6113054720,0
200,1742932395109,2801,2801,2801,2801,2801,2801,2801,2801,0.096588134765625,2.72100830078125,1.298583984375,0.14311981201171875,0.2451934814453125,0.14725494384765625,0.805908203125,0.09061431884765625,15686.564147949219,169068.2169189453,142301.0792236328,1850.7469482421875,17024311296,2550136832,6114885632,0
200,1742932395310,2801,2801,2801,2801,2801,2801,2801,2801,3.690032958984375,0.1803741455078125,1.6970596313476563,0.11777496337890625,0.19841766357421875,1.04034423828125,0.9204254150390625,0.5036544799804688,15686.672973632813,169068.4799194336,142301.2318725586,1850.7564697265625,17024311296,2550136832,6114541568,0
200,1742932395511,2801,2801,2801,2801,2801,2801,2801,2801,6.5632476806640625,0.18119049072265625,5.214012145996094,0.0373077392578125,0.1823883056640625,0.20699310302734375,0.7148590087890625,1.18597412109375,15686.778076171875,169068.75903320313,142301.45526123047,1850.7564697265625,17024311296,2550136832,6114250752,0
200,1742932395712,2801,2801,2801,2801,2801,2801,2801,2801,0.05916595458984375,0.15140533447265625,1.1667938232421875,0.02610015869140625,0.053741455078125,0.20963287353515625,2.947296142578125,0.02684783935546875,15686.880432128906,169068.89471435547,142301.55932617188,1850.7564697265625,17024311296,2550136832,6113959936,0
200,1742932395912,2801,2801,2801,2801,2801,2801,2801,2801,1.0431976318359375,2.5676193237304688,1.2462081909179688,0.2301025390625,0.2336883544921875,0.8668289184570313,1.7838668823242188,0.4390411376953125,15686.988708496094,169069.1339111328,142301.72314453125,1850.7619018554688,17024311296,2550136832,6113652736,0
200,1742932396113,2801,2801,2801,2801,2801,2801,2801,2801,0.18578338623046875,0.307708740234375,1.3015060424804688,0.06818389892578125,2.6818084716796875,0.037750244140625,0.7576675415039063,0.697601318359375,15687.092712402344,169069.34490966797,142301.84478759766,1850.7619018554688,17024311296,2550136832,6114820096,0
200,1742932396314,2801,2801,2801,2801,2801,2801,2801,2801,1.0035018920898438,0.06462860107421875,3.4973678588867188,0.076385498046875,0.27639007568359375,0.25406646728515625,0.7962799072265625,0.00911712646484375,15687.196350097656,169069.5160522461,142301.9747314453,1850.7647705078125,17024311296,2550136832,6114492416,0
200,1742932396515,2801,2801,2801,2801,2801,2801,2801,2801,4.0285186767578125,4.2590179443359375,1.1573104858398438,0.214813232421875,3.008575439453125,0.1797027587890625,0.8797836303710938,0.6780166625976563,15687.304138183594,169069.78198242188,142302.16455078125,1850.7669677734375,17024311296,2550136832,6114185216,0
200,1742932396715,2801,2801,2801,2801,2801,2801,2801,2801,0.17850494384765625,0.051300048828125,1.1351547241210938,0.0799407958984375,2.4898529052734375,0.0228118896484375,0.58416748046875,0.0154876708984375,15687.406555175781,169069.9194946289,142302.2706298828,1850.7669677734375,17024311296,2550136832,6113902592,0
200,1742932396916,2801,2801,2801,2801,2801,2801,2801,2801,1.4987716674804688,0.15667724609375,3.5487823486328125,0.09999847412109375,0.3566741943359375,0.9849777221679688,1.53900146484375,0.44420623779296875,15687.514465332031,169070.16387939453,142302.4429321289,1850.7718505859375,17024311296,2550136832,6113615872,0
200,1742932397117,2801,2801,2801,2801,2801,2801,2801,2801,0.22606658935546875,0.15006256103515625,1.1433029174804688,2.6550216674804688,0.27841949462890625,0.10742950439453125,0.7073440551757813,0.158782958984375,15687.618041992188,169070.31072998047,142302.5474243164,1850.7718505859375,17024311296,2550136832,6114840576,0
200,1742932397318,2801,2801,2801,2801,2801,2801,2801,2801,2.9232635498046875,0.14682769775390625,1.6721115112304688,0.03012847900390625,0.1520538330078125,0.06290435791015625,0.9516754150390625,0.03287506103515625,15687.721008300781,169070.466796875,142302.6693725586,1850.7718505859375,17024311296,2550136832,6114533376,0
200,1742932397518,2801,2801,2801,2801,2801,2801,2801,2801,4.492271423339844,4.6362152099609375,1.5063018798828125,2.7279129028320313,0.49433135986328125,0.38530731201171875,2.348541259765625,0.4818267822265625,15687.83154296875,169070.84826660156,142302.92626953125,1850.7767944335938,17024311296,2550136832,6114205696,0
200,1742932397719,2801,2801,2801,2801,2801,2801,2801,2801,0.1966400146484375,0.19001007080078125,1.0940017700195313,0.09233856201171875,2.5248489379882813,0.081085205078125,0.6530685424804688,0.08990478515625,15687.934143066406,169070.98553466797,142303.03002929688,1850.7767944335938,17024311296,2550136832,6114205696,0
200,1742932397920,2801,2801,2801,2801,2801,2801,2801,2801,3.2783126831054688,0.3570556640625,1.2239990234375,0.16823577880859375,0.2176666259765625,0.32027435302734375,1.9682540893554688,0.338714599609375,15688.039916992188,169071.1922607422,142303.18182373047,1850.782470703125,17024311296,2550136832,6114226176,0
200,1742932398121,2801,2801,2801,2801,2801,2801,2801,2801,0.1941986083984375,0.27771759033203125,3.6369171142578125,0.05797576904296875,0.171783447265625,0.06390380859375,0.770111083984375,0.6186981201171875,15688.145629882813,169071.37268066406,142303.30432128906,1850.782470703125,17024311296,2550136832,6114840576,0
200,1742932398321,2801,2801,2801,2801,2801,2801,2801,2801,1.1318588256835938,0.19315338134765625,3.4971847534179688,0.10324859619140625,0.16999053955078125,0.59454345703125,1.0612869262695313,0.04138946533203125,15688.248657226563,169071.54071044922,142303.4369506836,1850.782470703125,17024311296,2550136832,6114840576,0
200,1742932398522,2801,2801,2801,2801,2801,2801,2801,2801,3.9423828125,4.637298583984375,1.4519119262695313,0.48360443115234375,3.028289794921875,0.19780731201171875,0.8040847778320313,0.867706298828125,15688.356567382813,169071.8120727539,142303.63751220703,1850.7869873046875,17024311296,2550136832,6114840576,0
200,1742932398723,2801,2801,2801,2801,2801,2801,2801,2801,0.063995361328125,0.2083282470703125,1.156005859375,0.06330108642578125,2.4947967529296875,0.09084320068359375,1.7575454711914063,0.119232177734375,15688.460632324219,169071.98168945313,142303.76330566406,1850.7869873046875,17024311296,2550136832,6114840576,0
200,1742932398924,2801,2801,2801,2801,2801,2801,2801,2801,3.0017852783203125,0.2481842041015625,2.4817047119140625,0.1143035888671875,0.20316314697265625,0.21147918701171875,1.794281005859375,0.130340576171875,15688.5654296875,169072.22802734375,142303.9268798828,1850.7869873046875,17024311296,2550136832,6114791424,0
200,1742932399124,2801,2801,2801,2801,2801,2801,2801,2801,0.379730224609375,0.20883941650390625,1.3662185668945313,0.04781341552734375,2.5600967407226563,0.312744140625,0.841644287109375,0.701934814453125,15688.673034667969,169072.4425048828,142304.06378173828,1850.7920532226563,17024311296,2550136832,6114840576,0
